time_e_utc,time_e_utc_str,connectivity,iso,name_1,name_2,lat,lon
1598227200,24-Aug-2020 00:00:00,7,USA,Arkansas,Arkansas,34.249096,-91.264244
1598230800,24-Aug-2020 01:00:00,7,USA,Arkansas,Arkansas,34.249096,-91.264244
1598234400,24-Aug-2020 02:00:00,6,USA,Arkansas,Arkansas,34.249096,-91.264244
1598238000,24-Aug-2020 03:00:00,7,USA,Arkansas,Arkansas,34.249096,-91.264244
1598241600,24-Aug-2020 04:00:00,6,USA,Arkansas,Arkansas,34.249096,-91.264244
1598245200,24-Aug-2020 05:00:00,8,USA,Arkansas,Arkansas,34.249096,-91.264244
1598248800,24-Aug-2020 06:00:00,9,USA,Arkansas,Arkansas,34.249096,-91.264244
1598252400,24-Aug-2020 07:00:00,10,USA,Arkansas,Arkansas,34.249096,-91.264244
1598256000,24-Aug-2020 08:00:00,10,USA,Arkansas,Arkansas,34.249096,-91.264244
1598259600,24-Aug-2020 09:00:00,9,USA,Arkansas,Arkansas,34.249096,-91.264244
1598263200,24-Aug-2020 10:00:00,9,USA,Arkansas,Arkansas,34.249096,-91.264244
1598266800,24-Aug-2020 11:00:00,10,USA,Arkansas,Arkansas,34.249096,-91.264244
1598270400,24-Aug-2020 12:00:00,6,USA,Arkansas,Arkansas,34.249096,-91.264244
1598274000,24-Aug-2020 13:00:00,7,USA,Arkansas,Arkansas,34.249096,-91.264244
1598277600,24-Aug-2020 14:00:00,8,USA,Arkansas,Arkansas,34.249096,-91.264244
1598281200,24-Aug-2020 15:00:00,9,USA,Arkansas,Arkansas,34.249096,-91.264244
1598284800,24-Aug-2020 16:00:00,8,USA,Arkansas,Arkansas,34.249096,-91.264244
1598288400,24-Aug-2020 17:00:00,10,USA,Arkansas,Arkansas,34.249096,-91.264244
1598292000,24-Aug-2020 18:00:00,10,USA,Arkansas,Arkansas,34.249096,-91.264244
1598295600,24-Aug-2020 19:00:00,7,USA,Arkansas,Arkansas,34.249096,-91.264244
1598299200,24-Aug-2020 20:00:00,8,USA,Arkansas,Arkansas,34.249096,-91.264244
1598302800,24-Aug-2020 21:00:00,5,USA,Arkansas,Arkansas,34.249096,-91.264244
1598306400,24-Aug-2020 22:00:00,7,USA,Arkansas,Arkansas,34.249096,-91.264244
1598310000,24-Aug-2020 23:00:00,6,USA,Arkansas,Arkansas,34.249096,-91.264244
1598313600,25-Aug-2020 00:00:00,7,USA,Arkansas,Arkansas,34.249096,-91.264244
1598317200,25-Aug-2020 01:00:00,8,USA,Arkansas,Arkansas,34.249096,-91.264244
1598320800,25-Aug-2020 02:00:00,7,USA,Arkansas,Arkansas,34.249096,-91.264244
1598324400,25-Aug-2020 03:00:00,7,USA,Arkansas,Arkansas,34.249096,-91.264244
1598328000,25-Aug-2020 04:00:00,8,USA,Arkansas,Arkansas,34.249096,-91.264244
1598331600,25-Aug-2020 05:00:00,9,USA,Arkansas,Arkansas,34.249096,-91.264244
1598335200,25-Aug-2020 06:00:00,7,USA,Arkansas,Arkansas,34.249096,-91.264244
1598338800,25-Aug-2020 07:00:00,10,USA,Arkansas,Arkansas,34.249096,-91.264244
1598342400,25-Aug-2020 08:00:00,8,USA,Arkansas,Arkansas,34.249096,-91.264244
1598346000,25-Aug-2020 09:00:00,6,USA,Arkansas,Arkansas,34.249096,-91.264244
1598349600,25-Aug-2020 10:00:00,8,USA,Arkansas,Arkansas,34.249096,-91.264244
